Timestamp,Action,Symbol,Price,Quantity,PnL,Balance,Reason
2025-12-03 12:29:16,SELL,NSE_EQ:IIFLCAPS,318.85,306,-168.3,-170220.35,Trailing Stop Triggered
2025-12-03 12:34:01,BUY,NSE_EQ:IIFLCAPS,319.15,307,0.0,-170220.35,Signal
2025-12-03 12:34:10,SELL,NSE_EQ:IIFLCAPS,319.05,307,-30.7,-170251.05,Trailing Stop Triggered
2025-12-03 13:43:01,BUY,NSE_EQ:IIFLCAPS,320.75,305,0.0,-170251.05,Signal
2025-12-03 13:47:15,SELL,NSE_EQ:IIFLCAPS,320.3,305,-137.25,-170388.3,Trailing Stop Triggered
2025-12-04 10:58:01,BUY,NSE_EQ:IIFLCAPS,316.85,309,0.0,-170388.3,Signal
2025-12-04 11:01:36,SELL,NSE_EQ:IIFLCAPS,316.55,309,-92.7,-170481.0,Trailing Stop Triggered
2025-12-04 11:03:01,BUY,NSE_EQ:IIFLCAPS,316.75,309,0.0,-170481.0,Signal
2025-12-04 11:03:25,SELL,NSE_EQ:IIFLCAPS,316.45,309,-92.7,-170573.7,Trailing Stop Triggered
2025-12-05 12:47:02,BUY,NSE_EQ:MARUTI,16194.0,308,0.0,-170573.7,Signal
2025-12-05 13:41:12,SELL,NSE_EQ:MARUTI,5,308,-4986212.0,-5156785.7,Trailing Stop Triggered
2025-12-05 14:17:01,BUY,NSE_EQ:MARUTI,16191.0,308,0.0,-5156785.7,Signal
2025-12-05 14:44:01,BUY,NSE_EQ:MARUTI,16188.0,308,0.0,-5156785.7,Signal
2025-12-05 14:44:16,SELL,NSE_EQ:MARUTI,16183.0,308,-1540.0,-5158325.7,Trailing Stop Triggered
2025-12-05 14:45:01,BUY,NSE_EQ:MARUTI,16189.0,308,0.0,-5158325.7,Signal
2025-12-05 14:46:45,SELL,NSE_EQ:MARUTI,16170.0,308,-5852.0,-5164177.7,Trailing Stop Triggered
2025-12-05 14:54:01,BUY,NSE_EQ:MARUTI,16181.0,308,0.0,-5164177.7,Signal
2025-12-05 15:29:38,SELL,NSE_EQ:MARUTI,16285.0,308,32032.0,-5132145.7,Trailing Stop Triggered
2025-12-08 11:04:00,BUY,NSE_EQ:MARUTI,16181.0,308,0.0,-5132145.7,Signal
2025-12-08 11:23:01,BUY,NSE_EQ:MARUTI,16172.0,309,0.0,-5132145.7,Signal
2025-12-08 11:23:44,SELL,NSE_EQ:MARUTI,16164.0,309,-2472.0,-5134617.7,Trailing Stop Triggered
2025-12-08 11:24:00,BUY,NSE_EQ:MARUTI,16164.0,309,0.0,-5134617.7,Signal
2025-12-08 11:24:08,SELL,NSE_EQ:MARUTI,16162.0,309,-618.0,-5135235.7,Trailing Stop Triggered
2025-12-08 11:25:01,BUY,NSE_EQ:MARUTI,16165.0,309,0.0,-5135235.7,Signal
